	D-Glucose	D-Lactose	Maltose	Sucrose	D-Fructose	L-Glutamic-acid	Salicin	LB Without Glycine	LB Without Serine	LB Without Threonine	LB	LB Plus Glycine	LB Plus Serine	LB Plus Threonine
L-arginine degradation VI (arg... [ARG-PRO-PWY] 	0.04931	0.092901	0.092046	0.096866	0.049236	0.028857	0.045442	0.03763	0.0	0.0	0.0	0.0	0.0	0.0
L-ornithine biosynthesis II [ARGININE-SYN4-PWY] 	0.044976	0.086408	0.087257	0.090096	0.044449	0.021126	0.042285	0.020371	0.0	0.0	0.0	0.0	0.0	0.0
chorismate biosynthesis I [ARO-PWY] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
coenzyme A biosynthesis I (bac... [COA-PWY] 	0.017916	0.035206	0.035068	0.036709	0.017844	0.009792	0.017229	0.00689	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of aromatic amino... [COMPLETE-ARO-PWY] 	0.028794	0.053695	0.056332	0.055987	0.028671	0.017886	0.026264	0.015125	0.0	0.0	0.0	0.0	0.0	0.0
reactive oxygen species degrad... [DETOX1-PWY-1] 	0.004524	0.009001	0.009315	0.009385	0.004424	0.003596	0.004405	0.003755	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine biosynthesis I [GLNSYN-PWY] 	0.141323	0.27236	0.271993	0.283985	0.140579	0.077319	0.133289	0.071213	0.0	0.0	0.0	0.0	0.0	0.0
D-gluconate degradation [GLUCONSUPER-PWY] 	0.118175	0.29732	0.294984	0.31001	0.117709	0.052608	0.145497	0.073909	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate degradation I [GLUTAMATE-DEG1-PWY] 	0.014495	0.025483	0.029156	0.02657	0.013482	0.010279	0.012464	0.015884	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate biosynthesis II [GLUTAMATE-SYN2-PWY] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.010403	0.025754	0.023146	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine degradation I [GLUTAMINDEG-PWY] 	0.051406	0.09699	0.096014	0.10113	0.051406	0.028452	0.047462	0.015568	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine degradation II [GLUTAMINEFUM-PWY] 	0.007932	0.017185	0.0193	0.017918	0.007142	0.017925	0.008419	0.014839	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate biosynthesis III [GLUTSYNIII-PWY] 	0.043474	0.079805	0.076715	0.083211	0.044264	0.010527	0.039043	0.030407	0.0	0.0	0.0	0.0	0.0	0.0
glycine biosynthesis I [GLYSYN-PWY] 	0.613707	1.177586	1.177573	1.227847	0.611147	0.304201	0.576228	0.359285	0.0	0.0	0.0	0.0	0.0	0.0
L-histidine biosynthesis [HISTSYN-PWY] 	0.007045	0.013415	0.013418	0.013987	0.007018	0.004114	0.006564	0.003304	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of (Kdo)<SUB>2</S... [KDO-NAGLIPASYN-PWY] 	0.004677	0.008906	0.008908	0.009286	0.004659	0.002731	0.004358	0.002194	0.0	0.0	0.0	0.0	0.0	0.0
Kdo transfer to lipid IV<sub>A... [KDOSYN-PWY] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
L-leucine biosynthesis [LEUSYN-PWY] 	0.029377	0.056113	0.05582	0.058508	0.029344	0.018716	0.027458	0.01306	0.0	0.0	0.0	0.0	0.0	0.0
NAD biosynthesis from nicotina... [NAD-BIOSYNTHESIS-III] 	0.018802	0.035713	0.035648	0.037238	0.018729	0.010535	0.017477	0.011411	0.0	0.0	0.0	0.0	0.0	0.0
lipid IV<sub>A</sub> biosynthe... [NAGLIPASYN-PWY] 	0.004727	0.009	0.009002	0.009384	0.004709	0.00276	0.004404	0.002217	0.0	0.0	0.0	0.0	0.0	0.0
L-ornithine degradation I (L-p... [ORN-AMINOPENTANOATE-CAT-PWY] 	0.002856	0.005309	0.005085	0.005536	0.002986	0.0	0.002607	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pentose phosphate pathway (oxi... [OXIDATIVEPENT-PWY] 	0.186224	0.355625	0.351097	0.370804	0.185964	0.078372	0.174029	0.124592	0.0	0.0	0.0	0.0	0.0	0.0
pyruvate fermentation to aceta... [P41-PWY] 	0.14473	0.285016	0.284032	0.297181	0.144414	0.100774	0.139458	0.040436	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of coenzyme A bio... [PANTOSYN-PWY] 	0.009105	0.017884	0.017814	0.018647	0.009069	0.004982	0.008752	0.003514	0.0	0.0	0.0	0.0	0.0	0.0
pentose phosphate pathway [PENTOSE-P-PWY] 	0.159731	0.317737	0.314159	0.331299	0.159381	0.067095	0.155487	0.108238	0.0	0.0	0.0	0.0	0.0	0.0
peptidoglycan biosynthesis I (... [PEPTIDOGLYCANSYN-PWY] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
L-phenylalanine biosynthesis I [PHESYN] 	0.017359	0.033052	0.03306	0.034463	0.017292	0.010136	0.016173	0.008141	0.0	0.0	0.0	0.0	0.0	0.0
L-proline biosynthesis I (from... [PROSYN-PWY] 	0.058687	0.111365	0.111097	0.116118	0.058398	0.030571	0.054485	0.038158	0.0	0.0	0.0	0.0	0.0	0.0
CMP-3-deoxy-D-<I>manno</I>-oct... [PWY-1269] 	0.005908	0.01125	0.011253	0.01173	0.005886	0.00345	0.005505	0.002771	0.0	0.0	0.0	0.0	0.0	0.0
formate oxidation to CO<sub>2<... [PWY-1881] 	0.203115	0.389579	0.389579	0.406206	0.202271	0.004423	0.190632	0.216538	0.0	0.0	0.0	0.0	0.0	0.0
Entner-Doudoroff pathway III (... [PWY-2221] 	0.112075	0.228875	0.222624	0.238644	0.111748	0.052325	0.112002	0.077796	0.0	0.0	0.0	0.0	0.0	0.0
L-proline biosynthesis III (fr... [PWY-3341] 	0.04931	0.092901	0.092046	0.096866	0.049236	0.028857	0.045442	0.03763	0.0	0.0	0.0	0.0	0.0	0.0
D-galactose detoxification [PWY-3821] 	0.019696	0.017182	0.017112	0.017915	0.019618	0.008768	0.008408	0.012318	0.0	0.0	0.0	0.0	0.0	0.0
