Reaction	In-Pathway
RXN-11900	PWY-8478
RXN-9031	PWY-5770
R346-RXN	PWY-6269 // PWY-7972
RXN-21090	PWY-8113
RXN-11331	RXN-13402
RXN-18397	PWY-7855
RXN0-5200	
RXN-14904	
TYROSINE-N-MONOOXYGENASE-RXN	PWY-7901 // PWY-7088 // PWY-861 // RXN-13187
RXN-23700	
RXN-22763	PWY-8327
RXN-17803	PWY-5306 // DISSULFRED-PWY // PWY-5360 // PWY-6675
RXN-10065	
RXN-24039	
RXN-19842	
RXN-20544	
RXN0-7074	
FUCOSTEROL-EPOXIDE-LYASE-RXN	
RXN-8751	PWY-5497
RXN-21012	
RXN-23050	PWY-8358
RXN0-2142	PWY-7858 // PWY0-862
RXN66-489	PWY66-393
PHLORETIN-HYDROLASE-RXN	
RXN-11410	PWY-8061 // PWY-6502
RXN-8743	PWY-5489
RXN-13045	PWY-6989 // P601-PWY
MALEATE-ISOMERASE-RXN	PWY-6993 // PWY-7128 // PWY-8085 // PWY-722 // PWY-5033
RXN-18976	
RXN-15546	PWY-7510
RXN-9574	PWY-5975
2.1.1.109-RXN	PWY-5956
RXN-15382	PWY-7478
RXN-21174	RXN-21176
RXN-14425	PWY-7253
RXN-18119	PWY-8237 // PWY-8221
RXN-18017	PWY-7815
RXN-12981	
RXN-10474	PWY-6241
RXN-16099	PWY-7601
2.7.8.24-RXN	PWY-6826
RXN0-7275	
RXN-12880	PWY-7477 // RXN-12883
RXN-21114	PWY-8117
RXN-19534	PWY-8185
RXN-9638	PWY-5990 // 1.14.13.117-RXN
RXN-18702	MERCAPYSTRANS-RXN
RXN-13700	PWY-2464
RXN-24518	PWY-8517
RXN-20604	RXN-21595 // RXN-20616
LACCOA-RXN	PWY-5494
RXN-7663	PWY-5064
RXN-8522	PWY-5413
2.4.1.28-RXN	
RXN-19524	
3.2.1.107-RXN	PWY-7894
4.4.1.14-RXN	PWY-7270 // ETHYL-PWY
RXN-8132	PWY-5261
RXN-9004	PWY-5756
RXN-8597	
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	PWY-6039 // PWY-5710 // PWY-6432 // PWY-1121 // PWY-361 // PWY-7398 // PWY-7498 // PWY-6792
RXN2B4Q-50	PWY2B4Q-4
RXN-12165	PWY-6713
RXN-14280	PWY-8029
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	
5-PYRIDOXATE-DIOXYGENASE-RXN	PWY-8384
RXN-23562	PWY-8413
RXN-20327	PWY-8040
RXN-19801	PWY-8152 // PWY-6944
RXN-9992	PWY-6140
RXN-14798	PWY-7340
RXN-21955	PWY-7977
RXN-18621	PWY-5292
RXN-11868	PWY-6829
RXN-20436	PWY18C3-1
CHOLINE-O-ACETYLTRANSFERASE-RXN	
PHENPRODIOLDEHYDROG-RXN	HCAMHPDEG-PWY
RXN-9007	PWY-5756
RXN-16487	PWY-7647
TCCOL-RXN	4TOLCARBDEG-PWY
RXN-16722	PWY-7671
RXN-16252	PWY-7624
RXN-18709	PWY-7892
RXN-7141	PWY-4502
RXN-23063	PWY-8360
RXN-10086	PWY-6185
RXN-19189	PWY-7948 // RXN-19191
PHENYLALANINE-2-MONOOXYGENASE-RXN	
RXN-24324	
RXN-23057	PWY-8360
RXN-22058	PWY-6309
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN	4-HYDROXYMANDELATE-DEGRADATION-PWY
RXN-23656	PWY-8429
RXN-21724	PWYG-321
RXN-10643	PWY-6279 // PWY-7947 // PWY-6581
RXN-21436	RXN-21438 // 2.5.1.44-RXN
RXN-16061	
RXN-947	PWY-102
RXN-14111	
CHOLESTENONE-5-ALPHA-REDUCTASE-RXN	
2.1.3.7-RXN	
RXN-10741	PWY-6806
2.3.1.130-RXN	
RXN-20760	
UREASE-RXN	
RXN0-2023	PWY8J2-27 // PWY-7892
RXN1G-1636	PWYG-321
PEPCARBOXYKIN-RXN	PWY-7117 // GLUCONEO-PWY // PWY-561
RXN-19384	
RXN-18527	RXN-13484
RXN-14917	PWY-7436
RXN-11104	
RXN-22209	PWY-8241
RXN-13162	
RXN-21141	
THROMBOXANE-A-SYNTHASE-RXN	PWY-8397 // PWY66-374
RXN-24291	PWY-8487
RXN-16762	PWY-5349 // PWY-7398
RXN-9591	PWY-5981
RXN-11021	
RXN-23986	PWY-8459
RXN-9781	
2.4.1.198-RXN	
RXN0-5285	
RXN-9199	PWY-5843
RXN-7886	PWY-6806
RXN-11105	PWY-6407
RXN-14037	
RXN-16198	PWY-5706
RXN-10836	PWY-7769 // PWY-6322
RXN-22027	PWY-8203
RXN-8557	
RXN-10701	PWY-735
RXN-22608	
RXN-13879	PWY-7154
GUANIDINOBUTANAMIDE-NH3-RXN	ARGDEG-V-PWY
RXN-23059	PWY-8360
RXN-11531	PWY-2582
RXN-23434	PWY-8397
RXN-14860	PWY-8450
RXN-14308	RXN-14310
RXN-11551	PWY-6553
RXN-23373	
RXN-8810	PWY-5633
RXN-15625	RXN-10670
RXN-2009	PWY-981
RXN-21680	PWY-8175
RXN-23122	PWY-8365
RXN-9815	PWY-7151
CHOLINE-KINASE-RXN	PWY-7818 // PWY-7886 // PWY-7782 // PWY3O-450
RXN-17495	
RXN-8270	PWY-5320
RXN-9987	PWY-6139 // PWY-6138
RXN-20757	PWY-7892 // RXN0-2281
RXN-20887	PWY-8085
RXN-18473	
RXN-19690	PWY-5774
RXN-17385	PWY-8135
RXN-8063	PWY-5196
RXN-24015	PWY-8463
RXN-18006	PWY-7816
BIOTINLIG-RXN	PWY0-1264
RXN-19093	
RXN-23791	PWY-6763
RXN-11561	PWY-6568
RXN-21235	
RXN-22336	PWY-4202 // PWY-8266 // RXN-21028
RXN-14830	PWY-7352
RXN-6242	PWY-1901
RXN-11421	PWY-601 // RXN-18158
RXN-9012	PWY-5759
RXN-20001	PWY-5292
RXN-11001	PWY-6376
RXN-18136	PWY-7826
LINE-RXN	GAMMAHEXCHLORDEG-PWY
OHBENZCOARED-RXN	PHENOLDEG-PWY // PWY-7046 // PWY-6080
RXN-18193	PWYQT-4450 // RXNQT-4176
PYRROLINECARBREDUCT-RXN	PWY-8187 // PWY-3341 // PROSYN-PWY // ARG-PRO-PWY
2.8.2.27-RXN	PWY-6199
RXNQT-4193	PWY-282
RXN-21852	PWY-8196 // PWY-8199 // PWY-8197
RXN-22254	PWY-8422
RXN-15665	PWY-7531
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	
RXN-20674	3-DEHYDROQUINATE-SYNTHASE-RXN
RXN-11056	PWY-6398
RXN-17556	RXN-10137
RXN-3645	PWY-2083
RXN-22812	
RXN-13602	PWY-7091
RXN-15010	PWY-7402 // PWY-7401
RXN-12140	PWY-6710
UDPGLUCEPIM-RXN	PWY-6397 // PWY-7344 // PWY-6317 // COLANSYN-PWY // PWY-7328 // PWY-3821 // PWY-6527
RXN-14404	PWY-6350
RXN-20049	PWY-6540 // RXN-20051
4.2.1.59-RXN	PWY66-430 // PWY-7388 // PWY-8279 // PWY1A0-6120 // PWY-5971
RXN-15810	PWY-7555
1.1.99.25-RXN	QUINATEDEG-PWY
RXN-24033	PWY-8477
RXN-23407	PWY-8397
RXN-17414	
RXN-24391	PWY-8499
RXN-18922	PWY-7919 // RXN-18911
RXN-7759	PWY-5105
RXN-14571	PWY-8461 // PWY-7820
RXN-13425	
RXN-10749	PWY-7120
RXN-9442	
RXN-1142	PWY-361 // PWY-5168
RXN-23979	PWY-8459
RXN-13235	PWY-7025
RXN-4306	PWY-2681
RXN2DNV-29	PWY2DNV-5
RXN-20763	TOLUENE-DEG-3-OH-PWY
RXN-18846	PWY-7913
RXN-18117	
RXN-24168	
GLUTAMINE--PYRUVATE-AMINOTRANSFERASE-RXN	
RXN-6263	
RXN-19920	RXN0-7078
ORCINOL-2-MONOOXYGENASE-RXN	P342-PWY
RXN0-2942	
RXN-21137	
RXN-16379	PWY-7300
CISTRANON-RXN	
SULFITE-OXIDASE-RXN	PWY-7927 // PWY-5326
RXN-11190	
RXN-15349	PWY-7457
RAUCAFFRICINE-BETA-GLUCOSIDASE-RXN	
RXN-14546	PWY-7287
RXN-13731	PWY-7119
RXN-15290	PWY-7445
RXN-14988	PWY-7398
RXN0-748	PWY-7222
RXN-18757	PWY-7901 // RXN-18758
RXN-21917	
RXN-2221	PWY-1187
HEXADECANOL-DEHYDROGENASE-RXN	
RXN-18421	
POLYSACCHARIDE-O-METHYLTRANSFERASE-RXN	
RXN-9229	PWY-5855 // PWY-5873
RXN-19103	PWY-7932
DCTP-DEAM-RXN	PWY0-166 // PWY-7187
RXN-17535	PWY-7770
3.1.4.2-RXN	PWY-7367
RXN-13898	PWY-7157
RXN1G-260	PWYG-321
RXN-11439	PWYQT-4471
RXN-15463	PWY-7484
RXN-17130	
1.1.1.271-RXN	
SERINE-DEHYDROGENASE-RXN	
RXN-23538	
CYCLOARTENOL-SYNTHASE-RXN	PWY-8028 // PWY-6109
RXN-20778	PWY-3602 // PWY-7471
1.3.3.9-RXN	PWY-5290
RXN1ZN3-10	PWY-8128 // DETHIOBIOTIN-SYN-RXN
RXN1G-424	PWYG-321
RXN-11608	PWY-6574
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PWY-5981 // PWY0-1319
5.3.1.17-RXN	PWY-6507
LYSDECARBOX-RXN	PWY0-1303 // PWY-6328 // PWY0-461 // PWY0-1601 // PWY-6381 // PWY-6375 // PWY-6376 // PWY-5468
1.1.1.177-RXN	
RXN-12107	PWY-6704
2.4.1.208-RXN	PWY-7684
RXN-18074	PWY-7821
1.13.11.55-RXN	PWY-5302
AMIDINOASPARTASE-RXN	
2.1.1.85-RXN	
RXN-21088	PWY-8112
RXN-18766	
RXN-19707	
RXN-9159	PWY-5832 // PWY-5834
RXN-17076	PWY-7718
4.1.2.29-RXN	P562-PWY
RXN-8493	PWY-5400
RXN-12105	
RXN-9635	PWYG-321 // PWY-5989
RXN-22884	PWY-8339
RXN-23805	PWY-8443 // RXN-23807
RXN-17870	
RXN-13881	PWY-7154
RXN-11849	PWY-6660
RXN-24048	R303-RXN
RXN-19206	RXN-19197
RXN-9699	PWY-6010
RXN-9598	
RXN-17422	PWY-7757
RXN-13841	PWY-7150
RXN-16625	PWY-7664
RXN-17596	PWY-7777
RXN-18655	PWY-7882
RXN-21190	PWY-8118
RXN-22695	RXN0-279
3.2.1.153-RXN	
RXN-18822	
RXN-11510	PWY-6534
RXN-20511	PWY-8051 // PWY-8053
RXN-16288	
RXN-5467	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
RXN0-7046	
RXN-12510	PWY-3101
RXN-20069	
RXN-9139	PWY-5817
RXN-15548	PWY-7510
RXN-8526	PWY-5414
3.2.1.65-RXN	
1.1.1.98-RXN	
RXN-17121	
RXN-21515	PWY-8158
RXN-15122	PWY-5826 // PWY-5437 // THREDEHYD-RXN // ILEUSYN-PWY
RXN-14600	
RXN-10922	PWY-6345 // PWY-7040 // PWY-6346
RXN-18333	
RXN-16401	PWY-6733
RXN-12209	PWY-6739
RXN-7142	PWY-4502
RXN-14965	PWY-7385
RXN-15979	PWY-5397 // RXN-8469
RXN-14569	PWY0-1587
RXN-11729	PWY-6634
RXN-23687	PWY-8434
RXN-6380	PWY-6397
RXN0-5144	PWY8J2-27 // PWY-7892
RXN-12979	
GLUCUROISOM-RXN	PWY-7247
RXN-17829	
RXN-1981	PWY-6406
RXN-1841	PWY-862
RXN-13441	PWY-7724 // PWY-7619 // PWY-7602
RXN-18450	PWY-7857
RXN-8533	RXN-19786 // PWY-5421
RXN-11050	
2.4.1.27-RXN	
RXN-11564	PWY-6559
RXN18C3-48	PWY18C3-10
RXN-16792	PWY-7681
RXN-22940	PWY-8344
RXN-17046	PWY-7712
RXN-19659	UREASE-RXN // PWY2S1Y-3 // PWY0-41 // CITRULLINE-DEG-PWY // CARBAMATE-KINASE-RXN
RXN-10934	PWY-6350
RXN-5082	PWY-3022 // RXN-18099
IMP-DEHYDROG-RXN	PWY-7221 // PWY-5695 // PWY-6596
RXN-10975	
RXN2G6Z-12	
RXN-15642	PWY-7525
RXN-21193	PWY-8118
RXN-11188	
ARGININE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY
RXN-18648	PWY-7882 // PWY-7881
RXN-8695	PWY-5469
RXN-9858	PWY-6083
RXN-6741	PWY-4201
RXN-15099	PWY-7421
RXN-13859	
RXN-15107	PWY-7421
RXN-9142	PWY-5818
RXN-17813	PWY-7793
RXN-8386	PWY-5365
RXN-15621	PWY-7520
RXN-14942	
QUINATE-5-DEHYDROGENASE-RXN	PWY-6416
PHOSNACMURPENTATRANS-RXN	PEPTIDOGLYCANSYN-PWY
RXN-11917	PWY-6672
4.2.2.7-RXN	PWY-7644
4.2.1.107-RXN	PWY-6061
RXN-20981	PWY-6036
SHIKIMATE-5-DEHYDROGENASE-RXN	PWY-6163
2-OXOALDEHYDE-DEHYDROGENASE-NADP+-RXN	
RXN-17635	
RXN-15652	PWY-7529
RXN-19462	PWY-5903 // RXN-9374
HISTALDEHYD-RXN	HISTSYN-PWY // RXN-8001
RXN-20732	
RXN-14524	
RXN2B4Q-63	PWY2B4Q-8
RXN-14186	
RXN-14226	
RXN-13289	PWY-7035
3-DEHYDRO-L-GULONATE-2-DEHYDROGENASE-RXN	
RXN1G-760	PWYG-321
2.3.1.49-RXN	P2-PWY
RXN-8006	PWY-5160
RXN-16700	PWY-7670
RXN-14325	CTPSYN-RXN
RXN-14247	
RXN-22818	
R305-RXN	P342-PWY
RXN-16010	PWY-6048 // RXN-12573
RXN-11955	PWY-6677
RXN-13158	
LONG-CHAIN-ALCOHOL-DEHYDROGENASE-RXN	
RXN-14870	PWY-7363
COA-DISULFIDE-REDUCTASE-NADH-RXN	
RXN-13384	PWY-7045
RXN3O-9875	
RXN-9799	PWY-6061
RXN-19506	PWY-7988
RXN2DNV-32	PWY2DNV-5
RXN-8767	PWY-7377
RXN-23839	
RXN-8497	PWY-8398 // PWY-6917 // PWY-5406 // PWY-5408 // PWY-5407
RXN-22773	
RXN18C3-12	PWY18C3-3
RXN-13513	PWY-7071
RXN-15080	PWY-7419
LINAMARIN-SYNTHASE-RXN	PWY-3022
RXN-24313	PWY-5660
RXN-15912	PWY-7564
CHOLOYLGLYCINE-HYDROLASE-RXN	PWY-8135
THYKI-RXN	PWY-7199
RXN-16048	PWY-7590
RXN-17223	
RXN-14225	
RXN-18739	
RXN-12252	
RXN-18441	PWY-5132
RXN-9984	
RXN-8724	PWY-5477
RXN66-506	PWY66-395
RXN-24308	PWY-5660
RXN-8042	PWY-6475
RXN-16202	PWY-7614
2.6.1.72-RXN	
RXN-22381	
RXN-9337	PWY-5883
RXN-13788	PWY-7134
RXN-23298	PWY-8382
RXN-12735	TOLUENE-DEG-3-OH-PWY // PWY-6944 // PWY-5644
COLUMBAMINE-OXIDASE-RXN	
RXN-18995	RXN-12225
RXN-8881	PWY-5666
RXN-13810	PWY-7138
RXN-20083	PWY-5921 // 6.3.5.7-RXN
RXN-21046	
RXN-17935	RXN0-6566 // RXN-17908 // RXN-17905
RXN-12834	
RXN-13394	PWY-8002 // PWY-7046
RXN-19045	PWY-7928 // RXN-19046
RXN-7854	PWY-5140
RXN-8753	PWY-5497
RXN-18192	PWYQT-4450 // RXNQT-4176
CARNITINE-DECARBOXYLASE-RXN	
RXN-10128	PWY-6197
RXN-9011	PWY-5757
RXN-9949	PWY-5923
RXN-15383	PWY-7473
RXN-7182	
CARBPSYN-RXN	PWY2PN3-13 // ARGSYNBSUB-PWY // PWY-7790 // PWY-7400 // ARGSYN-PWY // PWY-7791 // PWY-5686 // PWY-5154
RXN-9073	PWY-5780
RXN-8596	
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	
RXN-23965	PWY-8457
L-FUCONATE-HYDRATASE-RXN	PWY-8444 // PWY-8318
RXN-8344	PWY-8171 // PWY-8167
RXN-5106	PWY-3041 // PWY-6445 // PWY-5423
3.5.1.69-RXN	
RXN-22961	PWY-8348
RXN-22791	RXN-22793
RXN-14023	PWY-7178
1.14.99.32-RXN	PWY-7656
RXN-11283	
RXN-8639	PWY-5462
RXN-8834	PWY-5645 // RXN-8833
RXN-15793	PWY-6955
R463-RXN	
RXN-20470	PWY-8047
RXN-12804	PWY-6971
RXN1UA-7905	PWY1A0-6120
RXN-13808	PWY-7138
JUGLONE-3-MONOOXYGENASE-RXN	PWY-7825
RXN-20319	PWY-8039
RXN-11474	PWY-6519
RXN-15544	PWY-7509
RXN-4732	PWY-2901
RXN-16907	PWY-7693 // PWY-7694
2.3.1.177-RXN	PWY-7739
PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN	PWY-6368 // PWY-6580
RXN-13748	
RXN-9639	PWY-5990 // 1.14.13.117-RXN
RXN-21320	PWY-8132
RXN-17804	PWY-5306 // DISSULFRED-PWY // PWY-5360
4.3.1.22-RXN	
RXN-20516	PWY-8055
RXN-22821	
RXN1G-355	PWYG-321
RXN-11896	RXN-12805 // PWY-6665
RXN-24369	PWY-8496
RXN-23252	
RXN-13418	
RXN-14116	PWY-6853 // PROUT-PWY // ARGASEDEG-PWY
RXN-8722	PWY-5477
RXN-16862	PWY-7689
RXN-21755	
RXN-9059	PWY-5775
RXN-8587	PWY-6294
RXN-20214	
RXN-19395	
RXN-2542	PWY-1422
2.4.1.229-RXN	
RXN-15253	
2OXOGLUTDECARB-RXN	2OXOGLUTARATEDEH-RXN // PWY-5084
RXN-23173	
RXN-17372	PWY-7751
RXN-12517	
RXN-13311	PWY-6105
RXN-21911	
RXN-17331	PWY-6633
RXN-16362	PWY-7630
RXN-18734	
RXN-8084	PWY-5203
RXN-8518	RXN-19784 // PWY-5412
RXN-15221	
RXN-23017	PWY-8355
RXN-17898	PWY-7802
2.8.3.7-RXN	
RXN-18456	PWY-7904
DIAMACTRANS-RXN	
RXN-4662	PWY-2841
RXN-15251	PWY-6533
RXN-18713	RXN-18720 // PWY-7895
3.5.1.82-RXN	
RXN-14113	
RXN-17575	
6-PHOSPHOFRUCTO-2-KINASE-RXN	PWY66-423
URONOLACTONASE-RXN	
1.14.99.33-RXN	PWY-6013
RXN-8166	PWY-5283 // PWY-7861 // PWY66-425
RXN-18853	
RXN-17047	PWY-7712
RXN-7626	PWY-5048
RXN-18110	
RXN-11007	PWY-6379 // PWY-6378
RXN-11539	PWY-6544
RXN-23621	PWY-8424
GENTAMICIN-3-N-ACETYLTRANSFERASE-RXN	
RXN-11809	PWY-6658
RXN-19523	
RXN-14736	PWY-7321
RXN-23440	PWY-8397
RXN-19284	
RXN-16227	PWY-6084
RXN-13341	PWY-7040
RXN-20228	
RXN-9156	
RXN-17402	
RXN1F-462	PWY-5321 // PWY-7173 // PWY-7172 // PWY-7137 // PWY-7129 // PWY-5390
SUCCINYLDIAMINOPIMTRANS-RXN	DAPLYSINESYN-PWY
RXN-9067	
RXN0-3942	PWY0-1221
STREPTOMYCIN-6-KINASE-RXN	PWY-5940
3.5.1.26-RXN	ASPARAGINE-DEG1-PWY-1
RXN-17373	
RXN1G-291	PWYG-321
RXN-24549	
3.1.1.82-RXN	PWY-5098
RXN-13308	PWY-7036
RXN0-5387	
RXN-21898	
RXN-20656	PWY-8057
RXN-10837	PWY-7769 // PWY-6322
3.2.1.11-RXN	
RXN1G-79	PWYG-321
RXN-7754	PWY-5105
RXN18C3-13	PWY18C3-4
2.1.1.44-RXN	RXN-14431
RXN-9294	
RXN-14853	PWY-7354
RXN-16541	PWY-7654
C04718-C060066-AUTOTRANSFORMATION-RXN	6-HYDROXYCINEOLE-DEGRADATION-PWY
RXN66-347	RXN-14744 // PWY-7306
RXN-1602	LIPAS-PWY
4.2.1.100-RXN	PWY-8485 // PWY-7401 // CENTBENZCOA-PWY
RXN-11337	
RXN-21922	
RXN-20984	
RXN-21104	ASPARAGINE--TRNA-LIGASE-RXN // PWY-8117 // RXN-21146
RXN-17939	PWY-6689 // RXN-12056
RXN-12928	PWY-6974
RXN-22967	
RXN1A0-6305	PWY1A0-6325
RXN-7251	PWY-4702
RXN-14766	
RXN-23412	PWY-8397
RXN-8774	PWY-8329 // PWY-7295 // PWY-5517
RXN-22483	PWY-8283
RXN-12857	
RXN-8150	PWY-5270
RXN-11522	PWY-6633
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	PWY-8465 // PHOSPHONOTASE-PWY
3.1.4.49-RXN	
RXN-14223	PWY-8060
RXN-14344	
RXN-22893	
RXN-12850	PWY-6946 // RXN-17644 // PWY-6945
RXN-23241	PWY-8379
RXN-18094	PWY-7824
2.4.1.110-RXN	
RXN-23657	PWY-8429
RXN-13809	PWY-7138
RXN-21881	PWY-8221
RXN-16730	
RXN0-745	PWY-7220
R82-RXN	PWY-4361 // 3.1.3.77-RXN
RXN-23000	
RXN-4542	PWY-2781
RXN-21651	PWY-8174
RXN-4226	PWY-2582
RXN-12204	PWY-6724
RXN-15799	PWY-7549
2.3.1.184-RXN	PWY-6157
FORMATE--DIHYDROFOLATE-LIGASE-RXN	
NUCLEOSIDE-PHOSPHATE-KINASE-RXN	
RXN0-310	PWY0-43
RXN-19596	PWY-7901
RXN-16712	
RXN-9424	PWY-5922
RXN-13878	PWY-7151
RXN-19554	
RXN-15216	PWY0-1569
SUCCARGDIHYDRO-RXN	AST-PWY
RXN-10088	
RXN-18064	PWY-7820
RXN-23201	PWY-8374
RXN-16394	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY
GAPOXNPHOSPHN-RXN	P124-PWY // PWY-8404 // GLYCOLYSIS // SUCSYN-PWY // ANAGLYCOLYSIS-PWY // PWY-5484 // PWY-8004 // GLUCONEO-PWY // PWY-7003 // P122-PWY // PWY-6901 // PWY66-399 // P185-PWY // PWY-1042
STIZOLOBINATE-SYNTHASE-RXN	PWY-8379 // PWY-6955
RXN-17113	PWY-7726
RXN-12558	PWY-6863 // PWY-6883
RXN-22066	
RXN-16875	PWY-7690
RXN0-3962	PWY-5768 // PWY-7268
RXN-9242	PWY-5856 // PWY-5871
RXN-17975	PWY-7812
RXN-19958	
RXN-21732	PWY-8296 // PWY-8179
PYRIDINE-N-METHYLTRANSFERASE-RXN	
RXN-16926	PWY-7695
RXN-13378	PWY-7045
2-PHOSPHOASCORBATE-DEPHOSPHORYLATION-RXN	
RXN-12823	
RXN-5822	NAD-BIOSYNTHESIS-II // NADPHOS-DEPHOS-PWY // PWY-5083
RXN-13760	PWY-8013
RXN-19233	PWY-8100
RXN-16573	PWY-7658
RXN-14503	
RXN-16931	
RXN-21063	PWY-8307 // PWY-8109
RXN-9030	PWY-8382 // PWY-5770
RXN-10999	PWY-6376
RXN-15485	PWY-7490
RXN-11470	PWY-8254
RXN66-643	PWY-5994
RXN-18052	PWY-7743 // PWY-7744
RXN-17953	
RXN-9076	PWY-5784
RXN-20407	
ACYLGLYCEROL-KINASE-RXN	
NADPH-PEROXIDASE-RXN	
RXN-10658	PWY-6282
RXN-22261	
RXN-15592	PWY-7517
RXN-12633	PWY-6900
2.3.1.118-RXN	
RXN-12956	
RXN-13924	PWY-7160
2.3.1.98-RXN	PWY-6673
RXN-7611	PWY-5045
RXN-21675	PWY-8174
RXN-12838	
RXNQT-4169	PWYQT-4450
RXN-14205	
RXN-10602	PWY-6258
RXN-15336	PWY-7452
GALACTODEHYDROG-RXN	GALDEG-PWY
TRICHODIENE-SYNTHASE-RXN	PWY-7711
RXN-8937	PWY-5729
RXN-21682	PWY-8175
RXN-21408	PWY-8147
RXN-20895	
RXN-8287	PWY-5343
R321-RXN	PWY-7376
RXN-18929	PWY-7919 // RXN-18910
1.1.1.150-RXN	
RXN-20753	
RXN-18638	PWY-7880
RXN-14051	
RXN-15285	
RXN-23783	
RXN2DNV-22	PWY2DNV-5
3.2.1.114-RXN	PWY-7920 // PWY-7426
RXN-9275	PWY-5287
RXN-16804	PWY-7674 // PWY-1269
4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN	
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	PWY-2541 // PWY-8238
RXN-17586	PWY-7776
RXN-11304	
RXN-16310	PWY-7627
THIOPURINE-S-METHYLTRANSFERASE-RXN	
RXN-16171	PWY-699 // RXN-22831
RXN-19262	PWY-7955
RXN-24538	
RXN-11743	PWY-6644
RXN-8470	PWY-5397
RXN-23323	
RXN-7919	
ISOFLAVONE-2-HYDROXYLASE-RXN	PWY-2463
2.4.1.102-RXN	PWY-7433
RXN-9818	PWY-6069 // PWY-6068
RXN-9864	PWY-6086
RXN-9744	PWY-6051
RXN-10423	PWY-6216
ALKYLACETYLGLYCEROPHOSPHATASE-RXN	
RXN-11591	
RXN-8182	LYSDEGII-PWY // PWY-6328 // PWY0-461 // PWY-5280
RXN-8540	PWY-5425
RXN0-6941	
RXN-16529	PWY-7128
RXN-9702	
RXNQT-4324	PWYQT-4471
1.5.1.7-RXN	LYSINE-AMINOAD-PWY
RXN-15775	PWY-7546
RXN-19141	
RXN-20548	
RXN-4722	PWY-2901
RXN-1623	TRIGLSYN-PWY // PWY-5667
RXN-15760	
RXN-11162	
RXN-16433	PWY-5303
ACYLCARNITINE-HYDROLASE-RXN	
3.12.1.1-RXN	
RXN-11066	PWY-6399
RXN-13361	PWY-7043
RXN-14964	
2.4.1.117-RXN	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
2.4.1.57-RXN	PWY-7885
RXN-19743	RXN-21005 // PWY-8003
RXN-8290	PWY-5348
RXN-16533	PWY-7653
RXN-23245	RXN-22676
RXN-16619	PWY-7664
RXN-19270	RXN-19271 // PWY-7955
DIMETHYLANILINE-N-OXIDE-ALDOLASE-RXN	
3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN	M-CRESOL-DEGRADATION-PWY // PWY-6228
RXN-19316	PWY-7965
RXN-16549	PWY-7656
RXN-2562	PWY-1422
RXN1F-164	PWY-5070
HYDROGEN-SULFIDE-S-ACETYLTRANSFERASE-RXN	
RXN-21318	PWY-8132
4.2.2.19-RXN	PWY-7646
RXN-23841	PWY-6986
RXN-15532	PWY-7497
RXN-12189	PWY-6736
RXN-10711	PWY-6303
RXN-20258	PWY-8035
RXN-17112	PWY-7726
RXN-8789	PWY-5526 // RXN-17426
RXN-13150	PWY-7009
2.7.8.10-RXN	
RXN-14501	
RXN-22702	
RXN-1406	PWY-581
RXN-8234	PWY-5307
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	PWY-7463 // PWY-5958
QUERCETIN-23-DIOXYGENASE-RXN	PWY-6848
GLUCOSYLOXYDOCOSANOATE-TRANS-RXN	
RXN-10875	PWY-6546
RXN-12049	PWY-6688
RXN-644	PWY-721
6.2.1.29-RXN	PWY-6061
RXN-17850	PWY-7799 // PWY-7800
RXN-11436	PWY-2821
RXN-15804	PWY-7550 // PWY-7255
RXN-20435	PWY18C3-1
RXN-23304	
RXN-21698	PWY-8175
RXN-17555	PWY-7773 // PWY-7772
RXN-20956	PWY-6032
RXN-16975	
RXN-8725	PWY-5477
RXN-9387	
RXN-17286	PWY-7745
RXN-9554	PWY-5367
RXN-3167	PWY-1921
RXN-17873	PWY-7800
RXN0-7386	
RXN-13073	
RXN-15530	PWY-7325
RXN-1541	PWY-2083
RXN-12063	CAMALEXIN-SYN // PWY-8024 // PWY-581 // PWY-601 // RXN-1402
RXN-12167	
2.4.1.216-RXN	PWY-2721
RXN-19231	PWY-8100
RXN-21878	PWY-8207
RXN-21672	PWY-8174
RXN-20402	
RXN-11663	CAMALEXIN-SYN
RXN-21057	PWY-8107
RXN66-486	PWY66-392
RXN-14306	
RXN-23152	PWY-8367
RXN-9010	PWY-5757
RXN-22813	PWY-8331 // PWY-8330
RXN-11260	PWY-6442
RXN-24118	
RXN-24569	
